                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2925,                 4.8639,                 4.0601,                0.00135,                0.62979,                0.00752,                0.00169,                 2.7279,                 8.0414,                 3.2838,              0.0033281,              0.0033281,              0.0033281
                      1,                 2.7529,                 3.3216,                 3.0543,                0.00434,                0.61277,                0.01899,                0.00567,                 2.6751,                 4.3304,                 2.6674,              0.0066449,              0.0066449,              0.0066449
                      2,                 2.4757,                 3.0684,                 2.7239,                0.02032,                0.46064,                0.04007,                0.00985,                  2.363,                 4.8615,                 2.4593,              0.0099453,              0.0099453,              0.0099453
                      3,                 2.4278,                 3.0009,                  2.588,                0.04895,                0.19468,                0.04728,                0.00978,                 2.3771,                 4.7028,                 2.3752,              0.0099258,              0.0099258,              0.0099258
                      4,                 2.3285,                 2.9163,                 2.4995,                0.03211,                0.37128,                0.03489,                0.01021,                 2.3222,                 4.2277,                 2.3564,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.2731,                 2.8824,                 2.4238,                0.06957,                0.22128,                0.04597,                0.01166,                  2.295,                 9.1837,                 2.3618,               0.009901,               0.009901,               0.009901
                      6,                 2.2424,                 2.8541,                 2.3871,                0.09705,                0.15745,                0.05271,                0.01374,                 2.3165,                   8.35,                 2.3979,              0.0098763,              0.0098763,              0.0098763
                      7,                 2.2243,                 2.7702,                 2.3829,                0.09124,                0.14255,                0.04629,                0.01149,                 2.3746,                 5.4571,                 2.4362,              0.0098515,              0.0098515,              0.0098515
                      8,                 2.1799,                 2.7635,                 2.3683,                0.16253,                0.15213,                0.07688,                0.01867,                 2.2667,                 7.6507,                  2.317,              0.0098268,              0.0098268,              0.0098268
                      9,                 2.1735,                 2.7156,                  2.329,                0.08083,                0.17979,                 0.0534,                0.01336,                 2.3755,                 8.3406,                 2.4503,               0.009802,               0.009802,               0.009802
                     10,                 2.1439,                 2.6907,                 2.2993,                0.07369,                0.16809,                0.04191,                0.01171,                 2.3392,                 6.1323,                 2.3243,              0.0097773,              0.0097773,              0.0097773
                     11,                 2.1208,                   2.66,                 2.2705,                0.10402,                0.18723,                0.05866,                0.01793,                 2.2591,                  6.287,                 2.2669,              0.0097525,              0.0097525,              0.0097525
                     12,                 2.1314,                 2.6574,                 2.2802,                0.15221,                0.19149,                0.11045,                0.02948,                 2.2785,                 4.2236,                 2.3532,              0.0097278,              0.0097278,              0.0097278
                     13,                   2.12,                 2.6448,                 2.2638,                0.11232,                0.21383,                0.06532,                0.01841,                 2.3204,                 6.3733,                 2.2853,               0.009703,               0.009703,               0.009703
                     14,                 2.0983,                   2.59,                 2.2441,                0.20751,                0.20426,                0.11507,                0.02787,                 2.2865,                 6.2516,                 2.2251,              0.0096783,              0.0096783,              0.0096783
                     15,                  2.091,                 2.5891,                 2.2454,                0.23649,                0.19574,                0.15007,                0.03827,                 2.2949,                 4.6534,                  2.303,              0.0096535,              0.0096535,              0.0096535
                     16,                  2.069,                 2.5615,                 2.2332,                0.22045,                0.21383,                0.13507,                0.03645,                 2.3041,                 3.9086,                  2.298,              0.0096288,              0.0096288,              0.0096288
                     17,                 2.0813,                 2.5642,                 2.2217,                0.16747,                0.21596,                0.09905,                0.02482,                 2.2055,                 6.8383,                 2.3154,               0.009604,               0.009604,               0.009604
                     18,                 2.0518,                 2.5426,                 2.2051,                0.20118,                0.21702,                0.13617,                0.03513,                 2.2504,                    4.2,                 2.2529,              0.0095793,              0.0095793,              0.0095793
                     19,                 2.0555,                 2.5235,                 2.2003,                 0.2249,                0.23182,                0.15814,                0.04677,                 2.2779,                 4.3414,                 2.3073,              0.0095545,              0.0095545,              0.0095545
                     20,                 2.0549,                 2.5242,                  2.192,                0.26461,                0.22872,                0.16373,                0.04685,                  2.199,                 3.7858,                 2.1985,              0.0095298,              0.0095298,              0.0095298
                     21,                 2.0485,                 2.4973,                  2.176,                0.30659,                0.23085,                0.19085,                0.06082,                 2.1573,                 3.9152,                 2.1551,               0.009505,               0.009505,               0.009505
                     22,                 2.0452,                 2.4861,                 2.1679,                0.25325,                0.23723,                0.16529,                0.04747,                 2.1979,                  3.618,                 2.1812,              0.0094803,              0.0094803,              0.0094803
                     23,                 2.0316,                 2.4671,                 2.1874,                0.22739,                0.22872,                0.17548,                0.05569,                 2.1256,                 4.2167,                  2.104,              0.0094555,              0.0094555,              0.0094555
                     24,                 2.0206,                 2.4496,                  2.154,                0.27385,                0.26489,                 0.1768,                0.04476,                 2.1965,                 5.0431,                 2.1982,              0.0094307,              0.0094307,              0.0094307
                     25,                 2.0002,                 2.4217,                 2.1604,                0.29679,                0.23723,                0.19448,                0.05626,                 2.2037,                 4.3477,                  2.218,               0.009406,               0.009406,               0.009406
                     26,                 2.0111,                 2.4545,                 2.1401,                0.35287,                0.26809,                0.22247,                0.06512,                 2.1725,                 4.2126,                 2.1345,              0.0093813,              0.0093813,              0.0093813
